
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
ATs,39.0229121,59.9363068,118.376912,54484188.4
AJs,37.8100376,60.6651938,113.319547,57543019
99,36.0327309,60.9887039,107.419985,47666922.2
AQo,33.0992071,61.1260916,98.4528455,114378822
A9s,32.8784767,55.8949052,106.949012,67109523.7
KQs,31.9819498,54.9172017,105.884855,19850449.9
AJo,31.2430187,59.6322794,95.2596298,80843464.9
KTs,30.9951715,51.9124142,108.557574,49307643.8
A8s,30.2592102,54.0383484,101.810561,64449541
ATo,30.0550983,58.3642425,93.6286173,179966976
KJs,29.7749421,54.0005219,100.251361,48187964.7
A7s,29.6927977,53.2431667,101.396871,58742751.8
A6s,28.5408234,52.5044848,98.8342357,61170985.9
A3s,28.4354656,51.9693871,99.4832717,64813869.3
88,28.1185648,56.1244763,91.0915642,111636601
A5s,27.4016566,51.7835462,96.2104713,51352542.7
A4s,27.1765191,51.1855655,96.5347406,57302768.6
77,27.1600352,54.4447274,90.7009449,120089346
K9s,27.1534102,52.1574501,94.6553879,52783699.6
JTs,26.0605658,45.6026641,103.903681,38339128.6
A2s,25.542794,50.3693042,92.2018765,63110648
K8s,25.3504741,48.3420856,95.3450198,70508108.1
KQo,25.2807623,52.9484758,86.810851,134004225
A9o,24.830374,54.1813177,83.3241724,204532643
33,23.9685658,48.642839,89.5901874,142511036
K6s,23.7701082,47.0079156,91.9385129,69368337.2
KJo,23.3744999,52.1690019,81.4642588,191146192
QTs,22.9991767,46.166295,90.5783862,42825533.1
K7s,22.9891857,48.0572221,86.9765617,70455886
K3s,22.9369784,45.9492153,90.7601943,75823336.1
KTo,22.7926645,49.4431292,83.8159092,181314252
T9s,22.7821968,43.514967,95.1906409,23613817.6
K4s,22.5394214,47.143075,86.9284962,78771810.4
K5s,22.5072098,46.5324707,87.94332,76505067.2
Q9s,22.326466,45.9555531,88.3322513,46162740.4
QJs,22.1118458,46.3768304,86.6884514,46539639.8
66,22.041132,50.9115819,78.7144771,138122496
A3o,21.7506405,50.2888413,78.6389548,50541950.2
K2s,21.6341327,45.5922477,86.2751648,75996237.1
A7o,20.9711766,50.9257347,74.8725811,227582586
A8o,20.8569411,51.8513248,73.1354718,237009231
K9o,20.8240063,50.39022,75.137258,216069367
44,20.5401765,48.885898,76.3937597,148067609
T8s,20.4758078,40.5375478,91.8376751,45256071.9
A6o,20.3062298,50.477274,73.1426538,147234210
A4o,19.7911391,49.2726859,73.0300949,138565540
J9s,19.7726708,43.5012217,82.6420709,39899920.4
55,19.3469305,49.2482134,71.4264231,151329766
JTo,19.1721539,42.3818723,82.2485174,206093064
A5o,18.9301795,49.5610176,69.4467342,193024135
T6s,18.9287277,36.9586212,93.1200014,58907034
