Aggregation analysis,PioViewer 1.10.24.3
File, C:\Users\benit\OneDrive\Solves\BB vs BB SRP\BU vs BB SRP 33%\Bu vs BB SRP 33% 3s3h3d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 18 Freq,BET 18 EV,CHECK Freq,CHECK EV
3s 3h 3d,100,45.81,16.5321,65.6133,54.19,38.4689,129.074,99.68,38.50,0.32,27.39
4c 3h 3c,100,48.01,23.3183,88.2997,51.99,31.6817,110.807,56.18,36.10,43.82,26.01
4h 2s 2d,100,47.69,22.4707,85.6742,52.31,32.5293,113.059,68.49,35.97,31.51,25.05
4h 3s 3c,100,47.80,22.6475,86.1434,52.20,32.3525,112.689,61.66,36.48,38.34,25.71
4s 2s 2c,100,47.88,23.1206,87.7923,52.12,31.8794,111.216,61.20,35.88,38.80,25.58
5d 4s 4d,100,48.59,24.3263,91.024,51.41,30.6737,108.484,44.59,36.40,55.41,26.07
5h 5c 2d,100,47.52,23.4765,89.8253,52.48,31.5235,109.213,46.92,36.85,53.08,26.82
5h 5c 2h,100,47.81,24.0488,91.4487,52.19,30.9512,107.835,44.37,36.15,55.63,26.81
5s 4h 4d,100,48.48,24.0887,90.3474,51.52,30.9113,109.082,43.72,37.05,56.28,26.14
6d 5d 2d,100,49.14,24.3357,90.0495,50.86,30.6643,109.613,54.90,34.05,45.10,26.54
6d 5d 3d,100,49.58,25.0125,91.7215,50.42,29.9875,108.141,48.21,33.87,51.79,26.37
6d 5d 3s,100,50.15,26.3462,95.5192,49.85,28.6538,104.508,29.38,35.52,70.62,25.80
6d 5h 2d,100,49.67,25.527,93.4347,50.33,29.473,106.48,37.36,35.87,62.64,25.66
6d 5h 2s,100,49.71,25.8479,94.5422,50.29,29.152,105.395,33.88,36.18,66.12,25.55
6d 5h 3s,100,50.23,26.7732,96.9193,49.77,28.2268,103.109,24.57,35.82,75.43,25.75
6s 3h 2d,100,48.82,24.4197,90.9505,51.18,30.5803,108.631,50.51,35.85,49.49,25.20
6s 3s 2d,100,48.92,24.5246,91.1479,51.08,30.4754,108.478,46.78,36.01,53.22,25.61
6s 3s 2s,100,48.55,23.7905,89.0862,51.45,31.2095,110.301,57.56,34.27,42.44,27.06
7c 6c 2c,100,48.24,23.3436,87.9776,51.76,31.6564,111.206,59.13,34.68,40.87,27.28
7c 6c 2h,100,48.50,23.5504,88.2887,51.50,31.4496,111.028,56.09,35.90,43.91,25.77
7c 6s 2h,100,48.35,23.0676,86.7452,51.65,31.9324,112.408,67.16,35.33,32.84,24.99
7h 4h 2h,100,48.53,23.6438,88.5825,51.47,31.3562,110.765,59.52,34.24,40.48,27.12
7h 4s 2d,100,48.64,23.5505,88.0307,51.36,31.4495,111.336,60.67,35.67,39.33,24.94
7h 4s 2h,100,48.75,23.8105,88.8027,51.25,31.1895,110.651,54.78,35.98,45.22,25.38
7h 6d 4h,100,49.88,26.074,95.0336,50.12,28.926,104.944,29.71,35.69,70.29,26.07
7h 6d 4s,100,49.83,26.2618,95.8279,50.17,28.7382,104.144,27.85,35.72,72.15,26.04
7h 6h 4h,100,49.46,25.1828,92.5824,50.54,29.8171,107.258,44.01,34.16,55.99,26.40
8c 4c 3c,100,47.87,22.9671,87.2361,52.13,32.0329,111.72,62.17,34.61,37.83,27.80
8c 4c 3h,100,48.02,22.9087,86.7472,51.98,32.0913,112.241,61.71,35.94,38.29,25.89
8c 4s 3h,100,47.91,22.4255,85.0972,52.09,32.5745,113.71,71.00,35.63,29.00,25.09
8d 8c 3d,100,46.25,21.3699,84.0051,53.75,33.6301,113.765,72.18,35.99,27.82,27.52
8h 8c 3d,100,45.97,20.7152,81.9308,54.03,34.2848,115.374,76.81,36.42,23.19,27.21
8s 7d 5h,100,48.56,24.5231,91.8158,51.44,30.4769,107.727,43.58,36.32,56.42,25.96
8s 7s 5h,100,48.76,24.7176,92.1753,51.24,30.2823,107.445,39.76,36.41,60.24,26.24
8s 7s 5s,100,48.63,24.4952,91.5887,51.37,30.5048,107.962,46.29,34.73,53.71,26.86
8s 8d 7c,100,45.57,21.0409,83.9457,54.43,33.9591,113.442,74.38,36.10,25.62,27.75
8s 8d 7s,100,45.97,21.6362,85.5716,54.03,33.3637,112.277,68.04,36.02,31.96,27.71
9h 3c 2d,100,47.55,21.5273,82.3129,52.45,33.4727,116.035,78.22,35.80,21.78,25.13
9h 3c 2h,100,47.80,22.4548,85.4184,52.20,32.5452,113.351,67.97,35.57,32.03,26.14
9h 3h 2h,100,47.74,23.0939,87.955,52.26,31.906,111.003,55.66,34.85,44.34,28.21
9h 7h 4h,100,48.15,23.5544,88.943,51.85,31.4456,110.268,49.60,35.29,50.40,27.66
9h 7s 4d,100,47.80,21.8768,83.2192,52.20,33.1232,115.364,75.61,35.67,24.39,25.24
