Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR
Qc 2h 2c,5c4c,0.051,47.49,49.901,159.201
Qc 2h 2c,6c5c,0.078,47.32,48.3084,154.686
Qc 2h 2c,7c5c,0.071,47.02,47.4985,153.072
Qc 2h 2c,7c6c,0.092,47.30,47.5171,152.207
Qc 2h 2c,8c6c,0.081,48.02,48.1743,151.992
Qc 2h 2c,8c7c,0.084,48.14,48.2302,151.79
Qc 2h 2c,9c6c,0.059,49.10,48.4819,149.606
Qc 2h 2c,9c7c,0.071,49.22,48.513,149.341
Qc 2h 2c,9c8c,0.079,50.02,50.0531,151.617
Qc 2h 2c,9c8d,0.034,26.89,24.645,138.849
Qc 2h 2c,9c8h,0.049,27.01,24.8811,139.597
Qc 2h 2c,9c8s,0.034,26.89,24.645,138.849
Qc 2h 2c,Tc5c,0.007,50.49,49.8795,149.672
Qc 2h 2c,Tc6c,0.070,50.73,49.3241,147.314
Qc 2h 2c,Tc7c,0.070,50.85,49.3743,147.107
Qc 2h 2c,Tc8c,0.077,51.65,50.9542,149.464
Qc 2h 2c,Tc9c,0.078,52.73,52.1046,149.73
Qc 2h 2c,Tc8d,0.054,29.12,25.0118,130.149
Qc 2h 2c,Tc9d,0.060,30.82,26.0548,128.084
Qc 2h 2c,Tc8h,0.071,29.24,25.2345,130.781
Qc 2h 2c,Tc9h,0.060,30.93,26.3319,128.984
Qc 2h 2c,Tc8s,0.054,29.12,25.0118,130.149
Qc 2h 2c,Tc9s,0.060,30.82,26.0548,128.084
Qc 2h 2c,Jc4c,0.048,53.41,52.5638,149.105
Qc 2h 2c,Jc5c,0.081,53.56,51.7946,146.514
Qc 2h 2c,Jc6c,0.078,53.79,51.447,144.91
Qc 2h 2c,Jc7c,0.073,53.95,51.5918,144.904
Qc 2h 2c,Jc8c,0.063,54.76,53.3526,147.618
Qc 2h 2c,Jc9c,0.066,55.85,54.6713,148.316
Qc 2h 2c,JcTc,0.075,57.01,55.934,148.65
Qc 2h 2c,Jc8d,0.020,33.29,26.1537,119.029
Qc 2h 2c,Jc9d,0.052,34.98,27.1537,117.62
Qc 2h 2c,JcTd,0.055,36.89,28.6065,117.503
Qc 2h 2c,Jc8h,0.029,33.42,26.3523,119.487
Qc 2h 2c,Jc9h,0.060,35.09,27.3916,118.262
Qc 2h 2c,JcTh,0.059,36.99,28.7728,117.847
Qc 2h 2c,Jc8s,0.020,33.29,26.1537,119.029
Qc 2h 2c,Jc9s,0.052,34.98,27.1537,117.62
Qc 2h 2c,JcTs,0.055,36.89,28.6065,117.503
Qc 2h 2c,Kc3c,0.078,59.79,60.8779,154.264
Qc 2h 2c,Kc4c,0.069,59.95,60.4953,152.896
Qc 2h 2c,Kc5c,0.063,60.14,60.0903,151.402
Qc 2h 2c,Kc6c,0.063,60.39,59.9033,150.288
Qc 2h 2c,Kc7c,0.065,60.57,60.1974,150.574
Qc 2h 2c,Kc8c,0.036,60.86,60.906,151.635
Qc 2h 2c,Kc9c,0.044,62.04,62.1242,151.721
Qc 2h 2c,KcTc,0.044,63.13,63.2728,151.847
Qc 2h 2c,KcJc,0.028,63.93,62.4117,147.924
Qc 2h 2c,Kc7d,0.001,41.13,30.7212,113.166
Qc 2h 2c,Kc8d,0.036,41.58,30.2185,110.115
Qc 2h 2c,Kc9d,0.047,43.36,31.2723,109.272
Qc 2h 2c,KcTd,0.057,45.18,32.7777,109.921
Qc 2h 2c,KcJd,0.053,46.43,33.3772,108.927
