Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR
3s 3h 3d,3c2c,0.205,99.98,298.113,542.122
3s 3h 3d,4c2c,0.477,24.08,0.02311,0.17451
3s 3h 3d,4c3c,0.841,99.98,297.481,540.957
3s 3h 3d,5c2c,0.706,24.15,0.02149,0.16181
3s 3h 3d,5c3c,0.834,99.98,297.391,540.795
3s 3h 3d,5c4c,0.745,25.46,0.0234,0.1671
3s 3h 3d,6c3c,0.709,99.98,297.482,540.962
3s 3h 3d,6c4c,0.789,24.77,0.01796,0.13187
3s 3h 3d,6c5c,0.740,24.88,0.00839,0.06134
3s 3h 3d,7c3c,0.057,99.98,299.117,543.936
3s 3h 3d,7c4c,0.792,23.93,0.01759,0.13366
3s 3h 3d,7c5c,0.736,24.05,0.01229,0.09294
3s 3h 3d,7c6c,0.672,24.14,0.00392,0.0295
3s 3h 3d,7c6d,0.123,24.10,0.01782,0.13444
3s 3h 3d,7c6h,0.123,24.10,0.01783,0.13453
3s 3h 3d,7c6s,0.123,24.10,0.01782,0.13441
3s 3h 3d,8c4c,0.075,23.18,0.01561,0.12246
3s 3h 3d,8c5c,0.744,23.24,0.0139,0.10876
3s 3h 3d,8c6c,0.746,23.36,0.01257,0.09787
3s 3h 3d,8c7c,0.680,23.58,0.00304,0.02342
3s 3h 3d,8c7d,0.283,23.54,0.01265,0.09769
3s 3h 3d,8c7h,0.283,23.54,0.01269,0.09798
3s 3h 3d,8c7s,0.283,23.54,0.01269,0.09797
3s 3h 3d,9c5c,0.211,24.09,0.01894,0.14295
3s 3h 3d,9c6c,0.709,24.21,0.01765,0.13251
3s 3h 3d,9c7c,0.709,24.44,0.01544,0.11484
3s 3h 3d,9c8c,0.558,24.47,0.02984,0.22168
3s 3h 3d,9c8d,0.259,24.46,0.00878,0.06527
3s 3h 3d,9c8h,0.259,24.46,0.00883,0.06567
3s 3h 3d,9c8s,0.259,24.46,0.00877,0.06521
3s 3h 3d,Tc2c,0.114,26.05,0.0186,0.12982
3s 3h 3d,Tc3c,0.161,99.98,297.35,540.724
3s 3h 3d,Tc4c,0.238,26.23,0.01936,0.13421
3s 3h 3d,Tc5c,0.262,26.29,0.01316,0.091
3s 3h 3d,Tc6c,0.622,26.41,0.00897,0.06177
3s 3h 3d,Tc7c,0.594,26.64,0.07648,0.52206
3s 3h 3d,Tc8c,0.483,26.73,0.15568,1.05878
3s 3h 3d,Tc9c,0.262,27.16,0.03044,0.20377
3s 3h 3d,Tc8d,0.357,26.75,0.1151,0.78235
3s 3h 3d,Tc9d,0.809,27.18,0.00035,0.00235
3s 3h 3d,Tc8h,0.357,26.75,0.11506,0.78207
3s 3h 3d,Tc9h,0.809,27.18,0.00027,0.00182
3s 3h 3d,Tc8s,0.357,26.75,0.11513,0.78258
3s 3h 3d,Tc9s,0.809,27.18,0.00022,0.00147
3s 3h 3d,Jc2c,0.550,30.16,0.01446,0.08715
3s 3h 3d,Jc3c,0.530,99.98,294.967,536.398
3s 3h 3d,Jc4c,0.662,30.40,0.01154,0.069
3s 3h 3d,Jc5c,0.792,30.47,0.00644,0.03844
3s 3h 3d,Jc6c,0.798,30.56,0.03374,0.20074
3s 3h 3d,Jc7c,0.620,30.80,0.40676,2.40104
3s 3h 3d,Jc8c,0.609,30.92,0.59356,3.49059
3s 3h 3d,Jc9c,0.441,31.35,0.1471,0.85321
3s 3h 3d,JcTc,0.419,32.30,0.42276,2.37993
3s 3h 3d,Jc8d,0.091,30.93,0.56827,3.34102
3s 3h 3d,Jc9d,0.827,31.38,0.07769,0.45016
3s 3h 3d,JcTd,0.760,32.33,0.31744,1.78517
3s 3h 3d,Jc8h,0.091,30.93,0.56816,3.34035
3s 3h 3d,Jc9h,0.827,31.38,0.07753,0.44921
3s 3h 3d,JcTh,0.760,32.33,0.31744,1.78514
3s 3h 3d,Jc8s,0.091,30.93,0.56834,3.34141
3s 3h 3d,Jc9s,0.827,31.38,0.07764,0.44987
3s 3h 3d,JcTs,0.760,32.33,0.31739,1.78488
3s 3h 3d,Qc2c,0.834,36.14,0.01469,0.07391
3s 3h 3d,Qc3c,0.842,99.98,293.602,533.909
3s 3h 3d,Qc4c,0.813,36.41,0.59929,2.99274
3s 3h 3d,Qc5c,0.814,36.48,0.92346,4.60321
3s 3h 3d,Qc6c,0.781,36.60,1.32362,6.57599
3s 3h 3d,Qc7c,0.835,36.85,1.68315,8.30568
3s 3h 3d,Qc8c,0.699,37.00,2.04858,10.0657
3s 3h 3d,Qc9c,0.495,37.44,1.48239,7.19903
3s 3h 3d,QcTc,0.461,38.40,1.85851,8.7989
3s 3h 3d,QcJc,0.496,39.80,2.42105,11.0609
3s 3h 3d,Qc9d,0.824,37.48,1.42406,6.9082
3s 3h 3d,QcTd,0.766,38.45,1.77997,8.41771
3s 3h 3d,QcJd,0.818,39.85,2.30773,10.5291
3s 3h 3d,Qc9h,0.824,37.48,1.42367,6.90631
3s 3h 3d,QcTh,0.766,38.45,1.7791,8.41359
3s 3h 3d,QcJh,0.818,39.85,2.30792,10.53
3s 3h 3d,Qc9s,0.824,37.48,1.424,6.90792
3s 3h 3d,QcTs,0.766,38.45,1.77955,8.4157
3s 3h 3d,QcJs,0.818,39.85,2.30759,10.5284
3s 3h 3d,Kc2c,0.802,44.11,3.12243,12.871
3s 3h 3d,Kc3c,0.819,99.98,296.52,539.221
3s 3h 3d,Kc4c,0.846,44.42,3.92426,16.061
3s 3h 3d,Kc5c,0.802,44.52,4.29834,17.5526
3s 3h 3d,Kc6c,0.739,44.68,4.87228,19.825
3s 3h 3d,Kc7c,0.762,44.94,5.32722,21.5517
3s 3h 3d,Kc8c,0.755,45.24,5.89417,23.6888
3s 3h 3d,Kc9c,0.592,45.85,6.06148,24.036
3s 3h 3d,KcTc,0.547,46.91,7.14475,27.6922
3s 3h 3d,KcJc,0.535,48.40,8.64017,32.4599
3s 3h 3d,KcQc,0.215,50.47,12.8459,46.2758
3s 3h 3d,Kc7d,0.067,44.99,5.35115,21.6269
3s 3h 3d,Kc8d,0.405,45.29,5.8875,23.6374
3s 3h 3d,Kc9d,0.810,45.90,6.02582,23.8689
3s 3h 3d,KcTd,0.674,46.96,7.09175,27.4568
3s 3h 3d,KcJd,0.712,48.46,8.5551,32.0994
3s 3h 3d,KcQd,0.486,50.44,12.0192,43.3285
3s 3h 3d,Kc7h,0.067,44.99,5.35111,21.6267
3s 3h 3d,Kc8h,0.405,45.29,5.88775,23.6384
3s 3h 3d,Kc9h,0.810,45.90,6.02574,23.8686
3s 3h 3d,KcTh,0.674,46.96,7.09163,27.4563
3s 3h 3d,KcJh,0.712,48.46,8.55507,32.0993
3s 3h 3d,KcQh,0.486,50.44,12.019,43.328
3s 3h 3d,Kc7s,0.067,44.99,5.35101,21.6263
3s 3h 3d,Kc8s,0.405,45.29,5.88747,23.6373
3s 3h 3d,Kc9s,0.810,45.90,6.02576,23.8687
3s 3h 3d,KcTs,0.674,46.96,7.0917,27.4566
3s 3h 3d,KcJs,0.712,48.46,8.55512,32.0995
3s 3h 3d,KcQs,0.486,50.44,12.0191,43.3282
3s 3h 3d,Ac2c,0.698,56.97,13.0221,41.5569
3s 3h 3d,Ac3c,0.735,99.98,301.152,547.644
3s 3h 3d,Ac4c,0.638,57.38,13.8813,43.9857
3s 3h 3d,Ac5c,0.564,57.54,14.2995,45.1864
3s 3h 3d,Ac6c,0.686,57.40,14.7126,46.6012
3s 3h 3d,Ac7c,0.657,57.81,15.5446,48.8858
3s 3h 3d,Ac8c,0.722,58.50,17.5841,54.6495
3s 3h 3d,Ac9c,0.781,59.57,20.2804,61.8961
3s 3h 3d,AcTc,0.639,61.02,23.8673,71.112
3s 3h 3d,AcJc,0.670,62.95,28.6461,82.7429
3s 3h 3d,Ac4d,0.517,57.41,13.8323,43.8091
3s 3h 3d,Ac5d,0.710,57.58,14.2487,44.9913
3s 3h 3d,Ac6d,0.551,57.47,14.6628,46.3924
3s 3h 3d,Ac7d,0.857,57.88,15.5851,48.9588
3s 3h 3d,Ac8d,0.886,58.56,17.5731,54.5608
3s 3h 3d,Ac9d,0.796,59.63,20.2887,61.861
3s 3h 3d,AcTd,0.706,61.08,23.8727,71.0579
3s 3h 3d,AcJd,0.315,63.02,28.6061,82.534
3s 3h 3d,AcQd,0.434,65.51,34.7808,96.5304
3s 3h 3d,Ac4h,0.517,57.41,13.8324,43.8096
3s 3h 3d,Ac5h,0.710,57.58,14.2489,44.9917
3s 3h 3d,Ac6h,0.551,57.47,14.6628,46.3923
3s 3h 3d,Ac7h,0.857,57.88,15.5851,48.959
3s 3h 3d,Ac8h,0.886,58.56,17.573,54.5604
3s 3h 3d,Ac9h,0.796,59.63,20.2892,61.8624
3s 3h 3d,AcTh,0.706,61.08,23.88,71.0795
3s 3h 3d,AcJh,0.315,63.02,28.6059,82.5332
3s 3h 3d,AcQh,0.434,65.51,34.782,96.5337
3s 3h 3d,Ac4s,0.517,57.41,13.8317,43.8073
3s 3h 3d,Ac5s,0.710,57.58,14.2489,44.9919
3s 3h 3d,Ac6s,0.551,57.47,14.6629,46.3924
3s 3h 3d,Ac7s,0.857,57.88,15.5851,48.9588
3s 3h 3d,Ac8s,0.886,58.56,17.573,54.5605
3s 3h 3d,Ac9s,0.796,59.63,20.2889,61.8616
3s 3h 3d,AcTs,0.706,61.08,23.8758,71.0672
3s 3h 3d,AcJs,0.315,63.02,28.6063,82.5344
3s 3h 3d,AcQs,0.434,65.51,34.781,96.531
3s 3h 3d,2d2c,1.000,59.81,19.7336,59.9859
3s 3h 3d,4d4c,1.000,63.33,40.5274,116.358
3s 3h 3d,4d2d,0.477,26.22,0.02634,0.18263
3s 3h 3d,5d5c,0.991,65.04,45.0223,125.858
3s 3h 3d,5d2d,0.706,26.31,0.02641,0.18248
3s 3h 3d,5d4d,0.745,27.61,0.02419,0.15933
3s 3h 3d,6d6c,0.930,67.00,51.0524,138.541
3s 3h 3d,6d4d,0.789,26.94,0.02259,0.15246
3s 3h 3d,6d5d,0.740,27.06,0.0324,0.21769
3s 3h 3d,7d6c,0.123,24.10,0.01352,0.102
3s 3h 3d,7d7c,0.826,69.14,59.273,155.868
3s 3h 3d,7d4d,0.792,26.14,0.02219,0.15428
3s 3h 3d,7d5d,0.736,26.28,0.00994,0.06878
3s 3h 3d,7d6d,0.672,26.39,0.18256,1.25799
